Configuration,Trainable Layers,Accuracy,F1 (weighted),Improvement
Phase 1 only (frozen base),Custom head only,0.6993,0.6984,-
Phase 1 + Phase 2 (fine-tuned),Custom head + EfficientNet [100:],0.7531,0.7536,+5.37% acc
