epoch,accuracy,learning_rate,loss,top3_acc,val_accuracy,val_loss,val_top3_acc
0,0.5197570323944092,9.999999747378752e-06,1.543716549873352,0.8389416337013245,0.5734767317771912,1.279713749885559,0.883349597454071
1,0.5897095799446106,9.999999747378752e-06,1.320884346961975,0.8910220861434937,0.6099706888198853,1.1970527172088623,0.9015966057777405
2,0.622800886631012,9.999999747378752e-06,1.22414231300354,0.9102904200553894,0.6422287225723267,1.1322163343429565,0.9130010008811951
3,0.6444429159164429,9.999999747378752e-06,1.1662485599517822,0.9176207780838013,0.655262291431427,1.0958967208862305,0.9204952716827393
4,0.6620357632637024,9.999999747378752e-06,1.1252400875091553,0.9238341450691223,0.6682958602905273,1.0703030824661255,0.9250569939613342
5,0.6753001809120178,9.999999747378752e-06,1.077665090560913,0.9301173090934753,0.6800260543823242,1.0397701263427734,0.9276637434959412
6,0.6993158459663391,9.999999747378752e-06,1.0459949970245361,0.9358419179916382,0.6891495585441589,1.0202140808105469,0.9279896020889282
7,0.7028064727783203,9.999999747378752e-06,1.0070940256118774,0.9425439834594727,0.6982730627059937,1.0070620775222778,0.9305962920188904
8,0.7146746516227722,9.999999747378752e-06,0.9876541495323181,0.9462440609931946,0.7018572688102722,0.992879331111908,0.9338546991348267
9,0.7268221378326416,9.999999747378752e-06,0.9523931741714478,0.9484082460403442,0.7054415345191956,0.9819057583808899,0.9351580142974854
10,0.7365959286689758,9.999999747378752e-06,0.9332496523857117,0.9505026340484619,0.7129358053207397,0.9746466875076294,0.9374389052391052
11,0.7393884658813477,9.999999747378752e-06,0.9123479723930359,0.956716001033783,0.7119582891464233,0.9589380025863647,0.939068078994751
12,0.7466489672660828,9.999999747378752e-06,0.8993926644325256,0.9579028487205505,0.7145649790763855,0.9564260840415955,0.9403714537620544
13,0.7561435103416443,9.999999747378752e-06,0.8671476244926453,0.961253821849823,0.7155424952507019,0.9515211582183838,0.9413489699363708
14,0.7633342742919922,9.999999747378752e-06,0.8610453009605408,0.9600670337677002,0.7272727489471436,0.9343939423561096,0.9436298608779907
15,0.7640323638916016,9.999999747378752e-06,0.8490170836448669,0.9651633501052856,0.7269468903541565,0.9377022385597229,0.9426523447036743
16,0.7720608711242676,9.999999747378752e-06,0.8347647786140442,0.967467188835144,0.7259693741798401,0.9343732595443726,0.9436298608779907
17,0.7753421068191528,9.999999747378752e-06,0.82359379529953,0.9660709500312805,0.7295535802841187,0.9293715357780457,0.9455848932266235
18,0.782463014125824,9.999999747378752e-06,0.8046417832374573,0.9669784903526306,0.7337895035743713,0.9196644425392151,0.9452590346336365
19,0.7897933721542358,9.999999747378752e-06,0.7881128787994385,0.971097469329834,0.7360703945159912,0.9191611409187317,0.9459106922149658
20,0.7890952229499817,9.999999747378752e-06,0.7794844508171082,0.9695615768432617,0.7393287420272827,0.9116271138191223,0.9468882083892822
21,0.7901424169540405,9.999999747378752e-06,0.7739455699920654,0.9717955589294434,0.7412838339805603,0.9094072580337524,0.9452590346336365
22,0.7948896884918213,9.999999747378752e-06,0.7559589743614197,0.9727031588554382,0.7461714148521423,0.9097011685371399,0.9488433003425598
23,0.7997766137123108,9.999999747378752e-06,0.7428799271583557,0.9732616543769836,0.7416096329689026,0.9094098806381226,0.9472140669822693
24,0.805012583732605,9.999999747378752e-06,0.7476774454116821,0.9735409021377563,0.747474730014801,0.9043996334075928,0.9465624094009399
25,0.8122032880783081,9.999999747378752e-06,0.7186247706413269,0.9747277498245239,0.7491039633750916,0.9025045037269592,0.9478657245635986
26,0.8155543208122253,9.999999747378752e-06,0.7138975858688354,0.977380633354187,0.7513847947120667,0.8962626457214355,0.9485174417495728
27,0.81136554479599,9.999999747378752e-06,0.7123782634735107,0.9761937856674194,0.7517106533050537,0.8956598043441772,0.9478657245635986
28,0.8181374073028564,9.999999747378752e-06,0.7001212239265442,0.9760541915893555,0.7517106533050537,0.8990722894668579,0.9472140669822693
29,0.8233733773231506,9.999999747378752e-06,0.680595874786377,0.9784976243972778,0.7543173432350159,0.8934956789016724,0.9501466155052185
